customer_id,first_name,last_name,email,city,state,zip_code
1,Debra,Burks,debra.burks@yahoo.com,Orchard Park,NY,14127
2,Kasha,Todd,kasha.todd@yahoo.com,Campbell,CA,95008
3,Tameka,Fisher,tameka.fisher@aol.com,Redondo Beach,CA,90278
4,Daryl,Spence,daryl.spence@aol.com,Uniondale,NY,11553
5,Charolette,Rice,charolette.rice@msn.com,Sacramento,CA,95820
6,Lyndsey,Bean,lyndsey.bean@hotmail.com,Fairport,NY,14450
7,Latasha,Hays,latasha.hays@hotmail.com,Buffalo,NY,14215
8,Jacquline,Duncan,jacquline.duncan@yahoo.com,Jackson Heights,NY,11372
9,Genoveva,Baldwin,genoveva.baldwin@msn.com,Port Washington,NY,11050
10,Pamelia,Newman,pamelia.newman@gmail.com,Monroe,NY,10950
11,Deshawn,Mendoza,deshawn.mendoza@yahoo.com,Monsey,NY,10952
12,Robby,Sykes,robby.sykes@hotmail.com,Hempstead,NY,11550
13,Lashawn,Ortiz,lashawn.ortiz@msn.com,Longview,TX,75604
14,Garry,Espinoza,garry.espinoza@hotmail.com,Forney,TX,75126
15,Linnie,Branch,linnie.branch@gmail.com,Plattsburgh,NY,12901
16,Emmitt,Sanchez,emmitt.sanchez@hotmail.com,New York,NY,10002
17,Caren,Stephens,caren.stephens@msn.com,Scarsdale,NY,10583
18,Georgetta,Hardin,georgetta.hardin@aol.com,Canandaigua,NY,14424
19,Lizzette,Stein,lizzette.stein@yahoo.com,Orchard Park,NY,14127
20,Aleta,Shepard,aleta.shepard@aol.com,Sugar Land,TX,77478
21,Tobie,Little,tobie.little@gmail.com,Victoria,TX,77904
22,Adelle,Larsen,adelle.larsen@gmail.com,East Northport,NY,11731
23,Kaylee,English,kaylee.english@msn.com,Hollis,NY,11423
24,Corene,Wall,corene.wall@msn.com,Atwater,CA,95301
25,Regenia,Vaughan,regenia.vaughan@gmail.com,Mahopac,NY,10541
26,Theo,Reese,theo.reese@gmail.com,Long Beach,NY,11561
27,Santos,Valencia,santos.valencia@yahoo.com,Sunnyside,NY,11104
28,Jeanice,Frost,jeanice.frost@hotmail.com,Ossining,NY,10562
29,Syreeta,Hendricks,syreeta.hendricks@msn.com,Mahopac,NY,10541
30,Jamaal,Albert,jamaal.albert@gmail.com,Torrance,CA,90505
31,Williemae,Holloway,williemae.holloway@msn.com,Oakland,CA,94603
32,Araceli,Golden,araceli.golden@msn.com,Fullerton,CA,92831
33,Deloris,Burke,deloris.burke@hotmail.com,Palos Verdes Peninsula,CA,90274
34,Brittney,Woodward,brittney.woodward@aol.com,East Northport,NY,11731
35,Guillermina,Noble,guillermina.noble@msn.com,Baldwinsville,NY,13027
36,Bernita,Mcdaniel,bernita.mcdaniel@hotmail.com,Liverpool,NY,13090
37,Melia,Brady,melia.brady@gmail.com,Maspeth,NY,11378
38,Zelma,Browning,zelma.browning@aol.com,Astoria,NY,11102
39,Janetta,Aguirre,janetta.aguirre@aol.com,Lancaster,NY,14086
40,Ronna,Butler,ronna.butler@gmail.com,Encino,CA,91316
41,Kathie,Freeman,kathie.freeman@msn.com,Queensbury,NY,12804
42,Tangela,Quinn,tangela.quinn@aol.com,Richmond Hill,NY,11418
43,Mozelle,Carter,mozelle.carter@aol.com,Houston,TX,77016
44,Onita,Johns,onita.johns@msn.com,Elmont,NY,11003
45,Bennett,Armstrong,bennett.armstrong@aol.com,Bethpage,NY,11714
46,Monika,Berg,monika.berg@gmail.com,Encino,CA,91316
47,Bridgette,Guerra,bridgette.guerra@hotmail.com,San Lorenzo,CA,94580
48,Cesar,Jackson,cesar.jackson@gmail.com,Liverpool,NY,13090
49,Caroll,Hays,caroll.hays@yahoo.com,Fairport,NY,14450
50,Cleotilde,Booth,cleotilde.booth@gmail.com,Sugar Land,TX,77478
51,Gertrud,Rhodes,gertrud.rhodes@aol.com,Merrick,NY,11566
52,Tu,Ramirez,tu.ramirez@hotmail.com,East Elmhurst,NY,11369
53,Saturnina,Garner,saturnina.garner@gmail.com,Glendora,CA,91740
54,Fran,Yang,fran.yang@hotmail.com,Utica,NY,13501
55,Diana,Guerra,diana.guerra@hotmail.com,Merrick,NY,11566
56,Lolita,Mosley,lolita.mosley@hotmail.com,Houston,TX,77016
57,Pamala,Henry,pamala.henry@aol.com,Bronx,NY,10451
58,Damien,Dorsey,damien.dorsey@yahoo.com,Central Islip,NY,11722
59,Latasha,Stanley,latasha.stanley@gmail.com,Rockville Centre,NY,11570
60,Neil,Mccall,neil.mccall@gmail.com,San Carlos,CA,94070
61,Elinore,Aguilar,elinore.aguilar@msn.com,San Angelo,TX,76901
62,Alica,Hunter,alica.hunter@hotmail.com,East Elmhurst,NY,11369
63,Tenisha,Lyons,tenisha.lyons@aol.com,Amityville,NY,11701
64,Bobbie,Foster,bobbie.foster@yahoo.com,Desoto,TX,75115
65,Kanesha,Vega,kanesha.vega@gmail.com,Rome,NY,13440
66,Lorrie,Becker,lorrie.becker@yahoo.com,Garland,TX,75043
67,Tommie,Melton,tommie.melton@gmail.com,Sacramento,CA,95820
68,Jayne,Kirkland,jayne.kirkland@hotmail.com,Rowlett,TX,75088
69,Katelin,Kennedy,katelin.kennedy@gmail.com,Rocklin,CA,95677
70,Tomasa,Carson,tomasa.carson@aol.com,East Elmhurst,NY,11369
71,Takako,Casey,takako.casey@aol.com,Bronx,NY,10451
72,Petronila,Norris,petronila.norris@aol.com,South El Monte,CA,91733
73,Melanie,Hayes,melanie.hayes@msn.com,Liverpool,NY,13090
74,Georgeann,Waller,georgeann.waller@yahoo.com,North Tonawanda,NY,14120
75,Abby,Gamble,abby.gamble@aol.com,Amityville,NY,11701
76,Parker,Prince,parker.prince@hotmail.com,Port Jefferson Station,NY,11776
77,Keri,Bridges,keri.bridges@gmail.com,Richardson,TX,75080
78,Chi,Goff,chi.goff@aol.com,Palos Verdes Peninsula,CA,90274
79,Ashanti,Parks,ashanti.parks@hotmail.com,Baldwin,NY,11510
80,Sarai,Mckee,sarai.mckee@msn.com,Buffalo,NY,14215
81,Zina,Bonner,zina.bonner@hotmail.com,San Lorenzo,CA,94580
82,Lizzie,Joyner,lizzie.joyner@msn.com,Coachella,CA,92236
83,Tiesha,Daniel,tiesha.daniel@yahoo.com,Scarsdale,NY,10583
84,Armand,Whitehead,armand.whitehead@hotmail.com,Lindenhurst,NY,11757
85,Teofila,Fischer,teofila.fischer@aol.com,Huntington Station,NY,11746
86,Lissa,Vargas,lissa.vargas@yahoo.com,Oswego,NY,13126
87,Yan,Mcgowan,yan.mcgowan@msn.com,Duarte,CA,91010
88,Titus,Bullock,titus.bullock@gmail.com,Hollis,NY,11423
89,Arvilla,Osborn,arvilla.osborn@gmail.com,Upland,CA,91784
90,Marjorie,Logan,marjorie.logan@msn.com,Franklin Square,NY,11010
91,Marvin,Mullins,marvin.mullins@aol.com,San Diego,CA,92111
92,Tena,Cruz,tena.cruz@yahoo.com,Farmingdale,NY,11735
93,Corrina,Sawyer,corrina.sawyer@yahoo.com,Troy,NY,12180
94,Sharyn,Hopkins,sharyn.hopkins@hotmail.com,Baldwinsville,NY,13027
95,Letitia,Franco,letitia.franco@aol.com,Saratoga Springs,NY,12866
96,Floretta,Higgins,floretta.higgins@hotmail.com,Bayside,NY,11361
97,Louanne,Martin,louanne.martin@hotmail.com,Yuba City,CA,95993
98,Violet,Valenzuela,violet.valenzuela@msn.com,Plattsburgh,NY,12901
99,Carie,Kidd,carie.kidd@yahoo.com,Monroe,NY,10950
100,Kellie,Franco,kellie.franco@yahoo.com,Commack,NY,11725
101,Nichelle,Howell,nichelle.howell@aol.com,Scarsdale,NY,10583
102,Marisol,Goodman,marisol.goodman@gmail.com,Canandaigua,NY,14424
103,Sylvie,Wilkerson,sylvie.wilkerson@yahoo.com,Syosset,NY,11791
104,Katharina,Bates,katharina.bates@gmail.com,Campbell,CA,95008
105,Marget,Hodge,marget.hodge@msn.com,Woodhaven,NY,11421
106,Raul,Melendez,raul.melendez@hotmail.com,Elmhurst,NY,11373
107,Cecil,Hopper,cecil.hopper@yahoo.com,Central Islip,NY,11722
108,Shae,Hickman,shae.hickman@hotmail.com,Floral Park,NY,11001
109,Monica,Sears,monica.sears@aol.com,San Jose,CA,95127
110,Ollie,Zimmerman,ollie.zimmerman@yahoo.com,Anaheim,CA,92806
111,Shila,White,shila.white@msn.com,Orchard Park,NY,14127
112,Yuk,Vega,yuk.vega@yahoo.com,West Hempstead,NY,11552
113,Eliana,Silva,eliana.silva@gmail.com,Farmingdale,NY,11735
114,Thalia,Horne,thalia.horne@yahoo.com,Amityville,NY,11701
115,Rey,Lindsay,rey.lindsay@gmail.com,Monroe,NY,10950
116,Merlene,Vinson,merlene.vinson@gmail.com,Euless,TX,76039
117,Dacia,William,dacia.william@msn.com,Sugar Land,TX,77478
118,Le,Wood,le.wood@yahoo.com,Pittsford,NY,14534
119,Thalia,Dillard,thalia.dillard@yahoo.com,San Angelo,TX,76901
120,Luz,House,luz.house@gmail.com,Fresno,CA,93706
121,Lucy,Woods,lucy.woods@gmail.com,Palos Verdes Peninsula,CA,90274
122,Shena,Carter,shena.carter@yahoo.com,Howard Beach,NY,11414
123,Robena,Hill,robena.hill@hotmail.com,Corpus Christi,TX,78418
124,Jeni,Booker,jeni.booker@gmail.com,South El Monte,CA,91733
125,Herlinda,Stone,herlinda.stone@msn.com,Canandaigua,NY,14424
126,Lavina,Dejesus,lavina.dejesus@msn.com,Newburgh,NY,12550
127,Erlinda,Nielsen,erlinda.nielsen@aol.com,Maspeth,NY,11378
128,Terrance,Lynn,terrance.lynn@yahoo.com,Plattsburgh,NY,12901
129,Walton,Dejesus,walton.dejesus@yahoo.com,Lockport,NY,14094
130,Wes,Stanton,wes.stanton@msn.com,Troy,NY,12180
131,Tanesha,Hampton,tanesha.hampton@hotmail.com,Syosset,NY,11791
132,Boyd,Irwin,boyd.irwin@hotmail.com,Hamburg,NY,14075
133,Delbert,Wilkins,delbert.wilkins@aol.com,Coram,NY,11727
134,Brianna,Moss,brianna.moss@msn.com,Hempstead,NY,11550
135,Dorthey,Jackson,dorthey.jackson@msn.com,Houston,TX,77016
136,Sarita,Parks,sarita.parks@msn.com,Forney,TX,75126
137,Shonta,Mercer,shonta.mercer@aol.com,Massapequa,NY,11758
138,Jone,Bernard,jone.bernard@hotmail.com,Anaheim,CA,92806
139,Wanita,Davenport,wanita.davenport@aol.com,Spring Valley,NY,10977
140,Cleopatra,Tate,cleopatra.tate@aol.com,East Elmhurst,NY,11369
141,Ramiro,Byers,ramiro.byers@gmail.com,Saint Albans,NY,11412
142,Nicholas,Vazquez,nicholas.vazquez@hotmail.com,West Hempstead,NY,11552
143,Janae,Doyle,janae.doyle@gmail.com,Jackson Heights,NY,11372
144,Hans,Price,hans.price@hotmail.com,Port Chester,NY,10573
145,Miquel,Neal,miquel.neal@hotmail.com,Staten Island,NY,10301
146,Stefany,Potter,stefany.potter@gmail.com,Saratoga Springs,NY,12866
147,Bernetta,Marquez,bernetta.marquez@hotmail.com,Smithtown,NY,11787
148,Julee,Woodard,julee.woodard@yahoo.com,Richmond Hill,NY,11418
149,Meredith,Bryan,meredith.bryan@hotmail.com,Spring Valley,NY,10977
150,Weldon,Michael,weldon.michael@hotmail.com,Huntington,NY,11743
151,Joesph,Delacruz,joesph.delacruz@aol.com,Atwater,CA,95301
152,Katherina,Odom,katherina.odom@yahoo.com,Plainview,NY,11803
153,Laraine,Robbins,laraine.robbins@yahoo.com,San Angelo,TX,76901
154,Jenise,Preston,jenise.preston@yahoo.com,Helotes,TX,78023
155,Lory,Page,lory.page@hotmail.com,Bay Shore,NY,11706
156,Charlyn,Cantrell,charlyn.cantrell@yahoo.com,West Islip,NY,11795
157,Carola,Rodriquez,carola.rodriquez@hotmail.com,Banning,CA,92220
158,Alane,Kennedy,alane.kennedy@yahoo.com,Spring Valley,NY,10977
159,Regina,Burns,regina.burns@aol.com,Garland,TX,75043
160,Omer,Estrada,omer.estrada@gmail.com,Rowlett,TX,75088
161,Crystle,Gilliam,crystle.gilliam@yahoo.com,Smithtown,NY,11787
162,Kam,Wilder,kam.wilder@hotmail.com,Newburgh,NY,12550
163,Margert,Stevens,margert.stevens@aol.com,Rome,NY,13440
164,Tomika,Larson,tomika.larson@yahoo.com,Woodside,NY,11377
165,Jeromy,Burch,jeromy.burch@msn.com,San Jose,CA,95127
166,Lena,Mills,lena.mills@yahoo.com,Woodhaven,NY,11421
167,Loreta,Johnston,loreta.johnston@yahoo.com,Spring Valley,NY,10977
168,Nettie,Mcdaniel,nettie.mcdaniel@hotmail.com,South Ozone Park,NY,11420
